"CHEMICAL_ID_NUMBER","STRIPPED_CHEMICAL_ID_NUMBER","Nat_Agg_PV","Nat_Agg_PPV_2014","Nat_Agg_PPV_2013","Nat_Agg_PPV_2012"
"278014","278014","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"2781-11-5","2781115","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"27813-02-1","27813021","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","10,000,000 - <50,000,000 lbs","1,000,000 - <10,000,000 lbs"
"27816-23-5","27816235","                    20,699 lbs","        36,218 lbs","        29,644 lbs","        38,103 lbs"
"2782-57-2","2782572","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs"
"2783-94-0","2783940","1,000,000 - <10,000,000 lbs","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"27858-32-8","27858328","<1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs"
"27859-58-1","27859581","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"278627","278627","                   158,700 lbs","       178,000 lbs","       208,000 lbs","       134,600 lbs"
"2786-76-7","2786767","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"278730","278730","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"278843","278843","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"278912","278912","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"278923","278923","                   108,263 lbs","       111,089 lbs","       104,516 lbs","       163,065 lbs"
"278934","278934","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"278978","278978","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"27905-45-9","27905459","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","100,000 - <500,000 lbs"
"27931","27931","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"27939-60-2","27939602","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"27955-94-8","27955948","<1,000,000 lbs","100,000 - <500,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs"
"279562","279562","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"27970-79-2","27970792","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"279755","279755","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
