"CHEMICAL_ID_NUMBER","STRIPPED_CHEMICAL_ID_NUMBER","Nat_Agg_PV","Nat_Agg_PPV_2014","Nat_Agg_PPV_2013","Nat_Agg_PPV_2012"
"1222-05-5","1222055","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"12222-04-7","12222047","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"12225-18-2","12225182","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"12225-21-7","12225217","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"12227-50-8","12227508","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"12227-89-3","12227893","100,000 - <500,000 lbs","100,000 - <500,000 lbs","25,000 - <100,000 lbs","<1,000,000 lbs"
"12230-80-7","12230807","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"122-32-7","122327","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"12232-96-1","12232961","<1,000,000 lbs","        31,000 lbs","        30,000 lbs","<1,000,000 lbs"
"12236-62-3","12236623","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"12237-62-6","12237626","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"12237-63-7","12237637","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"122384-87-6","122384876","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs"
"122-39-4","122394","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs"
"12239-87-1","12239871","                   368,105 lbs","       300,204 lbs","       529,506 lbs","       165,329 lbs"
"122-40-7","122407","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"1224429-82-6","1224429826","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"1224696-94-9","1224696949","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"122-51-0","122510","                    39,683 lbs","       286,601 lbs","        77,327 lbs","       109,371 lbs"
"122-57-6","122576","                    11,903 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"12259-92-6","12259926","                 9,775,179 lbs","     9,117,142 lbs","    16,614,269 lbs","    18,820,246 lbs"
"122-60-1","122601","                   479,422 lbs","       310,934 lbs","       281,892 lbs","       373,734 lbs"
"122-62-3","122623","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"12262-58-7","12262587","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"122-63-4","122634","25,000 - <100,000 lbs","25,000 - <100,000 lbs","25,000 - <100,000 lbs","25,000 - <100,000 lbs"
"12270-13-2","12270132","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"122-70-3","122703","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"122-79-2","122792","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"122-82-7","122827","                         0 lbs","             0 lbs","             0 lbs","<1,000,000 lbs"
"12286-66-7","12286667","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs"
"122-96-3","122963","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs","1,000,000 - <20,000,000 lbs"
"122-97-4","122974","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"122-99-6","122996","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"123-00-2","123002","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs"
"123-03-5","123035","                   811,301 lbs","       981,443 lbs","       680,236 lbs","       371,479 lbs"
"123-05-7","123057","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs"
"123-07-9","123079","                 3,787,843 lbs","     1,393,931 lbs","     1,939,225 lbs","     1,582,143 lbs"
"123-11-5","123115","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","1,000,000 - <10,000,000 lbs","500,000 - <1,000,000 lbs"
"123161","123161","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"123-17-1","123171","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"123-18-2","123182","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"123-19-3","123193","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"123243-59-4","123243594","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"123-26-2","123262","100,000 - <500,000 lbs","100,000 - <500,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs"
"123-28-4","123284","1,000,000 - <10,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"123-30-8","123308","                   932,364 lbs","     1,178,345 lbs","       732,254 lbs","     1,140,616 lbs"
"123-31-9","123319","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"123-34-2","123342","                         0 lbs","             0 lbs","             0 lbs","<1,000,000 lbs"
"123-35-3","123353","100,000,000 - <250,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"12336-95-7","12336957","                34,224,054 lbs","    36,192,693 lbs","    32,361,283 lbs","    31,265,607 lbs"
"123-38-6","123386","750,000,000 - <1,000,000,000 lbs","500,000,000 - <750,000,000 lbs","500,000,000 - <750,000,000 lbs","500,000,000 - <750,000,000 lbs"
"123-39-7","123397","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"123-41-1","123411","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"123-42-2","123422","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs"
"123439-82-7","123439827","                    43,974 lbs","        37,561 lbs","        31,109 lbs","         4,119 lbs"
"12344-68-2","12344682","                         0 lbs","             0 lbs","        35,000 lbs","        83,000 lbs"
"123-46-6","123466","                         0 lbs","             0 lbs","             0 lbs","           705 lbs"
"123-51-3","123513","<1,000,000 lbs","25,000 - <100,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"123-54-6","123546","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"123581","123581","                 4,135,973 lbs","     3,901,324 lbs","     3,251,207 lbs","     3,188,685 lbs"
"123-62-6","123626","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs","20,000,000 - <100,000,000 lbs"
"123-66-0","123660","                    30,476 lbs","        51,712 lbs","        23,323 lbs","         7,937 lbs"
"123-68-2","123682","25,000 - <100,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"123-72-8","123728","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs"
"123-75-1","123751","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"123-76-2","123762","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","100,000 - <500,000 lbs","500,000 - <1,000,000 lbs"
"123-77-3","123773","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"123-79-5","123795","                         0 lbs","       220,400 lbs","       132,276 lbs","       169,974 lbs"
"123-81-9","123819","                   327,682 lbs","       314,828 lbs","       294,285 lbs","       281,300 lbs"
"123-86-4","123864","250,000,000 - <500,000,000 lbs","250,000,000 - <500,000,000 lbs","250,000,000 - <500,000,000 lbs","250,000,000 - <500,000,000 lbs"
"12389-75-2","12389752","500,000 - <1,000,000 lbs","<1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs"
"123-91-1","123911","1,000,000 - <20,000,000 lbs","100,000 - <500,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs"
"123-92-2","123922","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"123-95-5","123955","                 2,141,652 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"123-96-6","123966","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"123968-25-2","123968252","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"123-99-9","123999","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"124018-38-8","124018388","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"124-02-7","124027","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"124-04-9","124049","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs","1,000,000,000 - <5,000,000,000 lbs"
"124-06-1","124061","                         0 lbs","             0 lbs","             0 lbs","             0 lbs"
"124-07-2","124072","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"124-09-4","124094",">=1,000,000,000 lbs",">=1,000,000,000 lbs",">=1,000,000,000 lbs",">=1,000,000,000 lbs"
"124-10-7","124107","50,000,000 - <100,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"12411-64-2","12411642","                 1,708,689 lbs","     1,153,825 lbs","     1,052,203 lbs","       809,828 lbs"
"124-13-0","124130","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"124172-53-8","124172538","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"124-17-4","124174","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"124-18-5","124185","                35,387,465 lbs","    37,838,081 lbs","    35,663,900 lbs","    38,774,304 lbs"
"1241-94-7","1241947","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"124-19-6","124196","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"124-22-1","124221","500,000 - <1,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","100,000 - <500,000 lbs"
"124-26-5","124265","                11,946,155 lbs","10,000,000 - <50,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"124-28-7","124287","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"124-30-1","124301","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"124343-14-2","124343142","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"124-38-9","124389",">=200,000,000,000 lbs","90,000,000,000 - <100,000,000,000 lbs","90,000,000,000 - <100,000,000,000 lbs","80,000,000,000 - <90,000,000,000 lbs"
"124-40-3","124403","250,000,000 - <500,000,000 lbs","250,000,000 - <500,000,000 lbs","100,000,000 - <250,000,000 lbs","250,000,000 - <500,000,000 lbs"
"124-41-4","124414","50,000,000 - <100,000,000 lbs","100,000,000 - <250,000,000 lbs","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs"
"1245553-85-8","1245553858","                     1,984 lbs","         3,968 lbs","           661 lbs","         9,660 lbs"
"124-63-0","124630","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"124-64-1","124641","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs"
"124649-82-7","124649827","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"124-68-5","124685","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"124-70-9","124709","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"124-73-2","124732","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"124756-59-8","124756598","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"124-76-5","124765","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"124971","124971","                 1,669,632 lbs","     1,587,180 lbs","     1,282,945 lbs","     1,269,960 lbs"
"125109-85-5","125109855","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"125-12-2","125122","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","500,000 - <1,000,000 lbs"
"125252-46-2","125252462","                         0 lbs","             0 lbs","             0 lbs","        48,999 lbs"
"125252-49-5","125252495","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"125304-04-3","125304043","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"125304-21-4","125304214","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"125328-43-0","125328430","                         0 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"12542-85-7","12542857","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"125463","125463","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"125476-71-3","125476713","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"12556","12556","                    39,433 lbs","        41,163 lbs","        22,548 lbs","        29,571 lbs"
"125590-73-0","125590730","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"125630-94-6","125630946","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"125643-61-0","125643610","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"125690","125690","                    44,092 lbs","             0 lbs","        73,369 lbs","        50,940 lbs"
"125904-11-2","125904112","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"125952","125952","                   279,622 lbs","             0 lbs","     1,803,125 lbs","     2,582,044 lbs"
"125997-21-9","125997219","                 3,368,002 lbs","     3,516,738 lbs","     3,345,509 lbs","     5,313,560 lbs"
"125997-22-0","125997220","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"126019-82-7","126019827","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"126-06-7","126067","                 3,165,300 lbs","     3,364,714 lbs","     2,871,960 lbs","     2,753,220 lbs"
"12607-70-4","12607704","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"12608-26-3","12608263","                   550,139 lbs","       456,579 lbs","     1,422,287 lbs","     1,191,949 lbs"
"126-11-4","126114","                 6,740,000 lbs","     6,020,000 lbs","     3,370,000 lbs","     3,910,000 lbs"
"1262661-88-0","1262661880","                   127,128 lbs","        25,484 lbs","             0 lbs","             0 lbs"
"12627-14-4","12627144","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"126-30-7","126307","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs","250,000,000 - <500,000,000 lbs","100,000,000 - <250,000,000 lbs"
"126308","126308","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"126319","126319","                    61,438 lbs","       116,382 lbs","        39,826 lbs","        44,236 lbs"
"126-33-0","126330","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"12645-31-7","12645317","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","500,000 - <1,000,000 lbs"
"12645-49-7","12645497","                   100,935 lbs","       102,316 lbs","       116,155 lbs","        91,974 lbs"
"12645-53-3","12645533","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"126535-26-0","126535260","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"12653-56-4","12653564","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"126546","126546","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs"
"12656-57-4","12656574","                    10,031 lbs","        15,432 lbs","         9,094 lbs","         2,976 lbs"
"12656-85-8","12656858","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs"
"126-57-8","126578","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"126-58-9","126589","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"126-63-6","126636","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","1,000,000 - <10,000,000 lbs"
"126682-74-4","126682744","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"126-71-6","126716","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"12673-69-7","12673697","                 1,595,938 lbs","     1,155,222 lbs","       941,374 lbs","       551,155 lbs"
"126-73-8","126738","1,000,000 - <10,000,000 lbs","10,000,000 - <50,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"126820","126820","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"126-83-0","126830","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"126-86-3","126863","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"126-92-1","126921","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"126-96-5","126965","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"126-97-6","126976","                    70,942 lbs","       381,356 lbs","        74,653 lbs","       291,442 lbs"
"126990-35-0","126990350","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"126-99-8","126998","                67,653,408 lbs","    64,796,448 lbs","    64,923,424 lbs","    65,875,744 lbs"
"127036-24-2","127036242","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"127-08-2","127082","50,000,000 - <100,000,000 lbs","50,000,000 - <100,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"127-09-3","127093","10,000,000 - <50,000,000 lbs","50,000,000 - <100,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"12712-38-8","12712388","                   627,319 lbs","       665,497 lbs","       647,622 lbs","       216,846 lbs"
"12713-03-0","12713030","                   102,010 lbs","        70,077 lbs","        75,449 lbs","         5,454 lbs"
"127-18-4","127184","250,000,000 - <500,000,000 lbs","250,000,000 - <500,000,000 lbs","250,000,000 - <500,000,000 lbs","250,000,000 - <500,000,000 lbs"
"127-19-5","127195","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"12736-96-8","12736968","                 3,173,126 lbs","     2,754,272 lbs","     2,106,875 lbs","     2,292,272 lbs"
"12737-27-8","12737278","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"12738-64-6","12738646","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs","100,000 - <500,000 lbs"
"127-39-9","127399","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"127-41-3","127413","100,000 - <500,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"12751-22-3","12751223","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"12751-23-4","12751234","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"127-51-5","127515","<1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs"
"127519-17-9","127519179","1,000,000 - <20,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"127572","127572","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"127-63-9","127639","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","100,000 - <500,000 lbs"
"12765-51-4","12765514","               296,588,459 lbs","   318,735,440 lbs","   318,103,679 lbs","   289,557,761 lbs"
"12767-90-7","12767907","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"127-68-4","127684","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"12769-96-9","12769969","                 1,195,447 lbs","       413,309 lbs","       382,004 lbs","       381,342 lbs"
"12772-47-3","12772473","                   176,804 lbs","       146,238 lbs","        45,000 lbs","       178,749 lbs"
"12777-87-6","12777876","                 9,481,279 lbs","    14,477,202 lbs","    16,268,780 lbs","    13,612,154 lbs"
"127-91-3","127913","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"127-96-8","127968","                   146,607 lbs","        88,262 lbs","       175,169 lbs","       115,741 lbs"
"128-04-1","128041","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs","1,000,000 - <10,000,000 lbs"
"128064","128064","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"1283128-56-2","1283128562","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"1283128-57-3","1283128573","<1,000,000 lbs","1,000,000 - <20,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"1283128-58-4","1283128584","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"1283128-59-5","1283128595","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs","1,000,000 - <20,000,000 lbs"
"128346-46-3","128346463","<1,000,000 lbs","       526,004 lbs","        80,323 lbs","<1,000,000 lbs"
"128-37-0","128370","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs","10,000,000 - <50,000,000 lbs"
"128-39-2","128392","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs","100,000,000 - <250,000,000 lbs"
"128446-33-3","128446333","                   166,508 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"128446-35-5","128446355","                 3,293,662 lbs","     2,800,993 lbs","     2,563,676 lbs","     2,064,793 lbs"
"128446-36-6","128446366","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"128-44-9","128449","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs"
"128-58-5","128585","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"128-69-8","128698","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"128734-33-8","128734338","                         0 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"128824-30-6","128824306","<1,000,000 lbs","<1,000,000 lbs","100,000 - <500,000 lbs","<1,000,000 lbs"
"128939","128939","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
"128973-77-3","128973773","                 1,105,486 lbs","     2,078,122 lbs","     1,924,680 lbs","     1,716,255 lbs"
"129-00-0","129000","                   264,983 lbs","       241,373 lbs","       133,044 lbs","       138,223 lbs"
"129423-54-7","129423547","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","500,000 - <1,000,000 lbs","<1,000,000 lbs"
"1294446-56-2","1294446562","                         0 lbs","<1,000,000 lbs","<1,000,000 lbs","<1,000,000 lbs"
