CHEMICAL NAME,CHEMICAL ID,CHEMICAL ID W/O DASHES,CHEMICAL ID TYPE,2019 NATIONALLY AGGREGATED PV,2018 NATIONALLY AGGREGATED PV,2017 NATIONALLY AGGREGATED PV,2016 NATIONALLY AGGREGATED PV
"Sulfamic acid, cobalt(2+) salt (2:1)",14017-41-5,14017415,CASRN,"7,729","8,042","14,329","20,876"
"Alkanes, C22-30-branched and linear, chloro",1401974-24-0,1401974240,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Phosphorus sulfide (P2S5), reaction products with sodium hydroxide",1402156-07-3,1402156073,CASRN,"1,000,000 lb - <20,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Complex mixed metal oxide (PROVISIONAL),140239,140239,Accession Number,"<1,000,000 lb","<1,000,000 lb","25,000 - <100,000 lb","<25,000"
"Iron, tris(2,4-pentanedionato-.kappa.O2,.kappa.O4)-, (OC-6-11)-",14024-18-1,14024181,CASRN,"33,620","23,498","10,859","1,931"
"Cobalt, bis(2,4-pentanedionato-.kappa.O2,.kappa.O4)-, (SP-4-1)-",14024-48-7,14024487,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","<1,000,000 lb"
"Zinc, bis(2,4-pentanedionato-.kappa.O2,.kappa.O4)-, (T-4)-",14024-63-6,14024636,CASRN,0,"54,153","48,642","55,175"
"Cuprate(2-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, sodium (1:2), (OC-6-21)-",14025-15-1,14025151,CASRN,"100,000 - <500,000 lb","500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","100,000 - <500,000 lb"
"Zincate(2-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, sodium (1:2), (OC-6-21)-",14025-21-9,14025219,CASRN,"1,000,000 - <10,000,000 lb","10,000,000 - <50,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
Aliphatic acid salt (PROVISIONAL),140262,140262,Accession Number,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Alkanes, C24-28, chloro",1402738-52-6,1402738526,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
1-Piperazineethanamine,140-31-8,140318,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"Pentanedioic acid, 2-methyl-, 1,5-dimethyl ester",14035-94-0,14035940,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Benzene, 1-(decyloxy)-2-(1-methylpropyl)-4-(triphenylmethyl)-",1404190-37-9,1404190379,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Phosphorous acid, mixed 2,4-bis(1-methyl-1-phenylethyl)phenyl and isodecyl and 2-(1-methyl-1-phenylethyl)phenyl and 4-(1-methyl-1-phenylethyl)phenyl and Ph triesters",1404220-73-0,1404220730,CASRN,"730,000","570,000","620,000","98,000"
Bismuth vanadium oxide (BiVO4),14059-33-7,14059337,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"Phenol, 4-(1,1,3,3-tetramethylbutyl)-",140-66-9,140669,CASRN,"10,000,000 - <50,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","50,000,000 - <100,000,000 lb"
"Benzene, 1-methoxy-4-(2-propen-1-yl)-",140-67-0,140670,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Cyclohexanone, 5-methyl-2-(1-methylethyl)-, (2S,5R)-",14073-97-3,14073973,CASRN,"<1,000,000 lb",0,0,0
"Borate(1-), tetrafluoro-, potassium (1:1)",14075-53-7,14075537,CASRN,"3,799,340","10,000,000 - <50,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"2-Propenoic acid, ethyl ester",140-88-5,140885,CASRN,"100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb"
"Carbonodithioic acid, O-ethyl ester, potassium salt (1:1)",140-89-6,140896,CASRN,"365,000","1,275,047","1,496,500","1,022,000"
"Carbamic acid, N,N'-1,6-hexanediylbis-, C,C'-bis[2-[2-(1-ethylpentyl)-3-oxazolidinyl]ethyl] ester",140921-24-0,140921240,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Carbonodithioic acid, O-(1-methylethyl) ester, sodium salt (1:1)",140-93-2,140932,CASRN,"813,237","714,325","500,000 - <1,000,000 lb","542,756"
"Urea, N,N'-bis(hydroxymethyl)-",140-95-4,140954,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Vanadate (VO31-), calcium (2:1)",14100-64-2,14100642,CASRN,"87,563","121,154","103,969","94,802"
"2-Butenedioic acid (2E)-, 1,4-bis(2-ethylhexyl) ester",141-02-6,141026,CASRN,"38,718","198,206","132,340","121,251"
"Hexanedioic acid, 1,6-bis(2-methylpropyl) ester",141-04-8,141048,CASRN,"25,272",0,0,0
"2-Butenedioic acid (2Z)-, 1,4-diethyl ester",141-05-9,141059,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"1,2,3-Propanetriol, mono- and diformates",1410795-90-2,1410795902,CASRN,"8,488","3,395",0,0
"2,6-Octadien-1-ol, 3,7-dimethyl-, 1-acetate, (2Z)-",141-12-8,141128,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Hexanedioic acid, 1,6-bis[2-(2-butoxyethoxy)ethyl] ester",141-17-3,141173,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Hexanedioic acid, 1,6-bis(2-butoxyethyl) ester",141-18-4,141184,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Decanedioic acid, 1,10-bis(2-butoxyethyl) ester",141-19-5,141195,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Octadecanamide, N-[2-[(2-hydroxyethyl)amino]ethyl]-",141-21-9,141219,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"9-Octadecenoic acid, 12-hydroxy-, (9Z,12R)-",141-22-0,141220,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"Octadecanoic acid, 12-hydroxy-, methyl ester",141-23-1,141231,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"9-Octadecenoic acid, 12-hydroxy-, methyl ester, (9Z,12R)-",141-24-2,141242,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"2,6-Octadienal, 3,7-dimethyl-, (2E)-",141-27-5,141275,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Phosphoric acid, methyl ester, compds. with branched dodecylbenzenamine",1412893-77-6,1412893776,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Phosphoric acid, butyl ester, compds. with branched dodecylbenzenamine",1412893-78-7,1412893787,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"2-Propenoic acid, butyl ester",141-32-2,141322,CASRN,"1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb","1,000,000,000 - <5,000,000,000 lb"
"2-Oxiraneoctanoic acid, 3-octyl-, 2-ethylhexyl ester",141-38-8,141388,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Ethanol, 2-amino-",141-43-5,141435,CASRN,"500,000,000 - <750,000,000 lb","500,000,000 - <750,000,000 lb","500,000,000 - <750,000,000 lb","500,000,000 - <750,000,000 lb"
"Ethanol, sodium salt (1:1)",141-52-6,141526,CASRN,"500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","500,000 - <1,000,000 lb"
"Formic acid, sodium salt (1:1)",141-53-7,141537,CASRN,"20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"Aluminum, chloro[29H,31H-phthalocyaninato(2-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, (SP-5-12)-",14154-42-8,14154428,CASRN,"25,000 - <100,000 lb","25,000 - <100,000 lb","25,000 - <100,000 lb","25,000 - <100,000 lb"
"Silane, trichloropropyl-",141-57-1,141571,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Humic acids,1415-93-6,1415936,CASRN,0,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Tetrasiloxane, 1,1,1,3,3,5,5,7,7,7-decamethyl-",141-62-8,141628,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Pentasiloxane, 1,1,1,3,3,5,5,7,7,9,9,9-dodecamethyl-",141-63-9,141639,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Decanoic acid, mixed tetraesters with heptanoic acid, 2-methylbutanoic acid, octanoic acid, pentaerythritol, 3,5,5-trimethylhexanoic acid and valeric acid",141686-49-9,141686499,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Decanoic acid, mixed triesters with heptanoic acid, 2-methylbutanoic acid, octanoic acid, 3,5,5-trimethylhexanoic acid, trimethylolpropane and valeric acid",141686-50-2,141686502,CASRN,0,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Bismuth nitrate oxide (Bi3(NO3)O4),1417164-49-8,1417164498,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1-Propanol, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methyl-, 1-propanoate",141773-73-1,141773731,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Molybdenum nickel oxide (MoNiO4),14177-55-0,14177550,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Ethanone, 1-[4-(4-chlorophenoxy)-2-(trifluoromethyl)phenyl]-",1417782-28-5,1417782285,CASRN,"1,000,000 lb - <20,000,000 lb","<1,000,000 lb",0,0
Acetic acid ethyl ester,141-78-6,141786,CASRN,"100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb","100,000,000 - <250,000,000 lb"
"Alkanes, C21-34-branched and linear, chloro",1417900-96-9,1417900969,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"3-Penten-2-one, 4-methyl-",141-79-7,141797,CASRN,0,0,"63,000","189,824"
Propanedioic acid,141-82-2,141822,CASRN,"33,176","37,085","33,943","31,960"
"Lignin, Kraft, reaction product with tall oil fatty acids, C21 dicarboxylic acid and ethyleneamines (PROVISIONAL)",141845,141845,Accession Number,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Amines, C12-14-tert-alkyl, 2-[[bis(1,3-dimethylbutoxy)phosphinothioyl]thio]methylethyl phosphates",141904-03-2,141904032,CASRN,"25,000 - <100,000 lb","<1,000,000 lb","<25,000","<1,000,000 lb"
"Di(alkanepolyol)ether, polyacrylate (PROVISIONAL)",141947,141947,Accession Number,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Butanoic acid, 3-oxo-, ethyl ester",141-97-9,141979,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Carbamothioic acid, N-ethyl-, O-(1-methylethyl) ester",141-98-0,141980,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","<1,000,000 lb"
Aluminum chloride hydroxide (AlCl2(OH)),14215-15-7,14215157,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Copper, bis[2-(amino-.kappa.N)ethanolato-.kappa.O]-",14215-52-2,14215522,CASRN,0,0,"77,380","194,700"
"2-Butenedioic acid (2Z)-, 1,4-bis(2-ethylhexyl) ester",142-16-5,142165,CASRN,"10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb"
"Dodecanoic acid, 2,3-dihydroxypropyl ester",142-18-7,142187,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Heptanoic acid, 2-propen-1-yl ester",142-19-8,142198,CASRN,"100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb"
"2,5,8,10-Tetraoxatridec-12-enoic acid, 9-oxo-, 2-propen-1-yl ester",142-22-3,142223,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Acetamide, N-(2-hydroxyethyl)-",142-26-7,142267,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Oxirane, 2,2'-[1,4-cyclohexanediylbis(methyleneoxymethylene)]bis-",14228-73-0,14228730,CASRN,"500,000 - <1,000,000 lb","500,000 - <1,000,000 lb","1,000,000 - <10,000,000 lb","500,000 - <1,000,000 lb"
"Propane, 1,3-dichloro-",142-28-9,142289,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Cyclopentene,142-29-0,142290,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"3-Hexyne-2,5-diol, 2,5-dimethyl-",142-30-3,142303,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Sulfuric acid, monooctyl ester, sodium salt (1:1)",142-31-4,142314,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 - <10,000,000 lb"
"2-Butenedioic acid (2Z)-, 1,4-bis(2-methylpropyl) ester",14234-82-3,14234823,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Phosphoric acid, diphenyl tetradecyl ester",142474-86-0,142474860,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Dodecanamide, N-(2-hydroxypropyl)-",142-54-1,142541,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Surface modified clay (PROVISIONAL),142542,142542,Accession Number,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Tetradecanamide, N-(2-hydroxyethyl)-",142-58-5,142585,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Ethanol, 2-butoxy-, 1-(dihydrogen phosphate)",14260-98-1,14260981,CASRN,"55,743","37,588","108,002","105,377"
Hexanoic acid,142-62-1,142621,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Bromine, manuf. of, by-products from, distn. residues",1426298-25-0,1426298250,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl 2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,1",142636-88-2,142636882,CASRN,"9,461","11,837","19,776","9,891"
"Acetic acid, copper(2+) salt (2:1)",142-71-2,142712,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Acetic acid, magnesium salt (2:1)",142-72-3,142723,CASRN,"1,000,000 - <10,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb","100,000,000 lb - <1,000,000,000 lb"
"9-Octadecenoic acid (9Z)-, butyl ester",142-77-8,142778,CASRN,"500,000 - <1,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"Dodecanamide, N-(2-hydroxyethyl)-",142-78-9,142789,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
Heptane,142-82-5,142825,CASRN,"100,000,000 - <250,000,000 lb","50,000,000 - <100,000,000 lb","50,000,000 - <100,000,000 lb","50,000,000 - <100,000,000 lb"
"Refractories, fibers, aluminosilicate",142844-00-6,142844006,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1-Propanamine, N-propyl-",142-84-7,142847,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Cobaltate(4-), [29H,31H-phthalocyanine-2,9,16,23-tetrasulfonato(6-)-.kappa.N29,.kappa.N30,.kappa.N31,.kappa.N32]-, hydrogen (1:4), (SP-4-1)-",14285-59-7,14285597,CASRN,"105,600","88,220","109,032","97,015"
"Sulfuric acid, monodecyl ester, sodium salt (1:1)",142-87-0,142870,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"2-Propenoic acid, 2-methyl-, dodecyl ester",142-90-5,142905,CASRN,"20,000,000 lb - <100,000,000 lb","10,000,000 - <50,000,000 lb","10,000,000 - <50,000,000 lb","20,000,000 lb - <100,000,000 lb"
"Hexadecanoic acid, 1-methylethyl ester",142-91-6,142916,CASRN,"1,000,000 - <10,000,000 lb","500,000 - <1,000,000 lb","<1,000,000 lb","1,000,000 - <10,000,000 lb"
"Acetic acid, hexyl ester",142-92-7,142927,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
Alkylbenzenesulfonic acid salt (PROVISIONAL),142939,142939,Accession Number,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Butane, 1,1'-oxybis-",142-96-1,142961,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Benzoic acid, 2-(methylthio)-4-(trifluoromethyl)-",142994-05-6,142994056,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
C.I. Pigment Green 36,14302-13-7,14302137,CASRN,"<1,000,000 lb","25,000 - <100,000 lb","<1,000,000 lb","25,000 - <100,000 lb"
Quaternary ammonium hydroxide,143034,143034,Accession Number,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Carbamic acid, N-(6-aminohexyl)-",143-06-6,143066,CASRN,"100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb","<1,000,000 lb"
Dodecanoic acid,143-07-7,143077,CASRN,"10,000,000 - <50,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
1-Nonanol,143-08-8,143088,CASRN,"2,161,929","3,475,491","1,928,980","4,910,821"
"Alkenes, C18-22, mixed with polyethylene, oxidized, hydrolyzed, distn. residues, from  C20-22-alcs. manuf.",1430895-62-7,1430895627,CASRN,"805,305","465,616",0,"28,219"
"Dodecane, 1-bromo-",143-15-7,143157,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"9-Octadecenoic acid (9Z)-, potassium salt (1:1)",143-18-0,143180,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"9-Octadecenoic acid (9Z)-, sodium salt (1:1)",143-19-1,143191,CASRN,"500,000 - <1,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"Ethanol, 2-[2-(2-butoxyethoxy)ethoxy]-",143-22-6,143226,CASRN,"10,000,000 - <50,000,000 lb","50,000,000 - <100,000,000 lb","50,000,000 - <100,000,000 lb","50,000,000 - <100,000,000 lb"
"Palladium, diamminedichloro-",14323-43-4,14323434,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"1,6-Hexanediamine, N1-(6-aminohexyl)-",143-23-7,143237,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Zinc, bis(N,N-diethylcarbamodithioato-.kappa.S,.kappa.S')-, (T-4)-",14324-55-1,14324551,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"2,5,8,11,14-Pentaoxapentadecane",143-24-8,143248,CASRN,"100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb"
"Benzoic acid, 3-amino-4-chloro-, hexadecyl ester",143269-74-3,143269743,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
1-Hexadecanamine,143-27-1,143271,CASRN,"<1,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb","<1,000,000 lb"
"9-Octadecen-1-ol, (9Z)-",143-28-2,143282,CASRN,"10,000,000 - <50,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
"5,8,11,13,16,19-Hexaoxatricosane",143-29-3,143293,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
Sodium cyanide (Na(CN)),143-33-9,143339,CASRN,"250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb","250,000,000 - <500,000,000 lb"
"Tar acids, C3-4-alkylphenol fraction",143400-68-4,143400684,CASRN,"1,157,017","1,164,569","941,467","1,120,786"
Diketo-pyrrolopyrrol (PROVISIONAL),143465,143465,Accession Number,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
Amine/aldehyde condensate,143501,143501,Accession Number,"<1,000,000 lb",0,0,0
"1H-Imidazolium, 1-[2-(carboxymethoxy)ethyl]-1-(carboxymethyl)-4,5-dihydro-2-undecyl-, hydroxide, sodium salt (1:1:2)",14350-97-1,14350971,CASRN,"31,665","61,235","21,703","21,846"
"Benzoyl chloride, 2-(methylsulfonyl)-4-(trifluoromethyl)-",143701-81-9,143701819,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Alkanes, C9-13-branched and linear",1437280-84-6,1437280846,CASRN,"14,975,397","11,537,455","10,697,426","12,429,280"
"Alkanes, C18-24-branched and linear",1437280-85-7,1437280857,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Alkanes, C15-19-branched and linear",1437281-01-0,1437281010,CASRN,"1,000,000 lb - <20,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Alkanes, C12-15-branched and linear",1437281-03-2,1437281032,CASRN,"241,041","6,940,532",0,"152,781"
Salt of a modified tallow alkylenediamine,143807,143807,Accession Number,"25,000 - <100,000 lb","<1,000,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb"
"Amines, bis(hydrogenated tallow alkyl), oxidized",143925-92-2,143925922,CASRN,"1,000,000 lb - <20,000,000 lb","<1,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"Acetic acid, anhydride, reaction products with 1,5,10-trimethyl-1,5,9-cyclododecatriene",144020-22-4,144020224,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Magnesate(2-), [[N,N'-1,2-ethanediylbis[N-[(carboxy-.kappa.O)methyl]glycinato-.kappa.N,.kappa.O]](4-)]-, sodium (1:2), (OC-6-21)-",14402-88-1,14402881,CASRN,"100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb","100,000 - <500,000 lb"
"1,3-Pentanediol, 2,2,4-trimethyl-",144-19-4,144194,CASRN,"1,000,000 lb - <20,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb","20,000,000 lb - <100,000,000 lb"
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, sodium salt (1:2)",144-33-2,144332,CASRN,"6,388","33,573","33,674","18,532"
"Decanamide, N,N-dimethyl-",14433-76-2,14433762,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"2,4,8,10-Tetraoxa-3,9-diphosphaspiro[5.5]undecane, 3,9-diphenoxy-",144-35-4,144354,CASRN,"1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb","1,000,000 lb - <20,000,000 lb"
"D-Glucopyranose, oligomeric, decyl octyl glycosides, polymers with epichlorohydrin and sorbitan monooleate",1443994-56-6,1443994566,CASRN,"72,752","326,345","91,519","52,793"
"Rosin, reaction products with acrylic acid, hydrogenated",144413-22-9,144413229,CASRN,"<1,000,000 lb","<1,000,000 lb","<1,000,000 lb","<1,000,000 lb"
"Nonanoic acid, 1,1'-[2,2-bis[[(1-oxononyl)oxy]methyl]-1,3-propanediyl] ester",14450-05-6,14450056,CASRN,"1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb","1,000,000 - <10,000,000 lb"
